k,perplexity
15,11932.782754191567
16,11936.07981482291
17,11587.468208991631
18,11684.375769606046
19,11900.667766929819
20,11996.104035622051
21,11892.868721614495
22,11908.394510852204
23,12088.200501400017
24,11663.006258273652
25,11876.78614938678
26,12263.08637632955
27,11969.26236657886
28,12124.647256320024
29,12196.034546845776
30,12168.388925696867
31,11945.691836009504
32,11926.007341191345
33,12230.728130077992
34,11910.544885136807
35,11994.918937911923
36,12259.963524764265
37,12280.229182011264
38,12093.793778377418
39,12135.896596887495
40,12115.338473650168
41,12147.998506692185
42,11927.086702042645
43,11896.152878561285
44,12108.875640635615
45,12282.666557536992
46,12369.729806300813
47,12241.33365876025
48,11853.284356183432
49,11968.278929604587
50,12083.805897196427
51,12009.77396494275
52,12107.496291053545
53,12190.877580857998
54,12023.059879099736
55,11921.054896496937
56,11920.041399970445
57,12293.856958938977
58,11953.066240425804
59,12051.651331415143
60,11970.649080897605
61,11947.49394885434
62,11931.293303972883
63,12286.335226588433
64,11986.132572525938
65,12145.428478196465
66,12184.392436143191
67,11912.035428651667
68,12225.931851517329
69,11770.86878080256
70,12167.49072171527
71,12185.76235646132
72,12066.398217464164
73,11879.845486625176
74,11703.306586976185
75,11944.693739729319
76,12108.21292247656
77,11921.150355402895
78,12222.695020129917
79,12148.351748554229
80,11835.07827647236
81,11926.737602051177
82,12260.033017029611
83,12143.579402133833
84,12299.953107782349
85,12125.084643364058
86,12072.114954148514
87,11765.097328268535
88,12103.02519006224
89,11918.980500040168
90,11978.970364336748
91,11761.886262455764
92,11858.956302547394
93,11850.039113619541
94,11767.303243375378
95,12232.497613962712
96,11890.893070006767
97,12189.035661751715
98,12226.283875048395
99,11852.469972005307
100,12345.991879055664
101,11921.535499282852
102,12101.34468653361
103,12150.255915360649
104,12310.66415805771
105,11978.95784881064
106,12112.456469847466
107,12033.731192434687
108,12168.230003995222
109,12441.855016178471
110,12049.475838152055
111,12193.763296184898
112,12273.402981942176
113,11756.07645211423
114,12073.264118203908
115,12172.617000597205
116,12264.670549258186
117,12330.014110820211
118,11845.7088320459
119,12030.065951065877
120,12150.952871404535
121,12186.161544961902
122,11891.176220717407
123,11768.240443238667
124,12285.540385421951
125,12239.399756245017
126,12030.706880989881
127,12211.472688350119
128,12071.687407763691
129,12368.116183846929
130,12256.815525519849
131,12007.841199165612
132,12310.26178657834
133,12016.017432062352
134,11893.501114760928
135,12088.275816530871
136,11922.907572574562
137,12257.098767697044
138,12125.238169886255
139,12059.036973834658
140,12003.467121914131
141,12197.487652717236
142,11938.178258922288
143,12122.866540814512
144,12056.534937555098
145,12116.073643865431
146,12357.549520021928
147,12239.698965311294
148,12043.532282404869
149,12076.620009846192
