"first_name","gender"
"Brigham","male"
"Joseph","male"
"Wilford","male"
"John","male"
"Reed","male"
"George","male"
"Black","NA"
"George","male"
"Joseph","male"
"Orson","male"
"Jacob","male"
"John","male"
"Heber","male"
"Erastus","NA"
"Heber","male"
"Lorenzo","male"
"James","male"
"Lot","NA"
"John","male"
"John","male"
"Franklin","male"
"John","male"
"Eliza","female"
"Theodore","male"
"Abraham","male"
"St.","NA"
"Parley","NA"
"Orson","male"
"Mary","female"
"Woman","NA"
"James","male"
"Old","NA"
"South","NA"
"Buffalo","NA"
"Mill","NA"
"David","male"
"Cotton","male"
"Willard","male"
"John","male"
"B.","NA"
"North","male"
"William","male"
"Hosea","male"
"Strawberry","NA"
"William","male"
"Lincoln","male"
"Charles","male"
"Thomas","male"
"de","male"
"Thomas","male"
"Emmeline","female"
"Henry","male"
"John","male"
"Uncle","NA"
"Woodrow","male"
"Frank","male"
"Promontory","NA"
"Joseph","male"
"Thomas","male"
"Juanita","female"
"Grover","male"
"Great","NA"
"Albert","male"
"Camp","NA"
"Simon","male"
"Albert","male"
"David","male"
"Salt","NA"
"Range","NA"
"John","male"
"Velez","NA"
"Hill","NA"
"Silver","female"
"Franklin","male"
"Frank","male"
"Mount","NA"
"Woolen","NA"
"Roman","male"
"the","NA"
"Thomas","male"
"Thomas","male"
"Notre","NA"
"Hotel","NA"
"Woolen","NA"
"William","male"
"Saint","male"
"Broad","NA"
"H.","NA"
"Rowland","male"
"Utah","male"
"Hill","NA"
"D.","NA"
"Jim","male"
"John","male"
"Deseret","NA"
"Southern","NA"
"Mormon","NA"
"Henry","male"
"Ensign","NA"
"William","male"
"Charles","male"
"Bishop","male"
"F.","NA"
"E.","NA"
"Young","male"
"Uintah","NA"
"U.","NA"
"Heber","male"
"Greek","NA"
"Jessie","female"
"Howard","male"
"John","male"
"blacksmith","NA"
"F.","NA"
"wagon","NA"
"Salt","NA"
"George","male"
"S.","NA"
"de","male"
"Orson","male"
"Salt","NA"
"Pipe","NA"
"Tabernacle","NA"
"Susa","NA"
"Pilot","NA"
"William","male"
"John","male"
"John","male"
"Francisco","male"
"John","male"
"Kit","male"
"Andrew","male"
"Alfred","male"
"Bishop","male"
"Denis","male"
"Susa","NA"
"William","male"
"Boy","male"
"S.","NA"
"Silvestre","male"
"Mark","male"
"David","male"
"Gothic","NA"
"A.","NA"
"Greek","NA"
"Cedar","female"
"Wallace","male"
"Lake","male"
"Gorge","male"
"E.","NA"
"Evans","male"
"Fray","NA"
"S.","NA"
"P.","NA"
"Desert","NA"
"Jessie","female"
"Henry","male"
"J.","NA"
"Valley","NA"
"Leonard","male"
"William","male"
"Jesse","male"
"J.","NA"
"Elk","NA"
"Homestead","NA"
"James","male"
"the","NA"
"Abraham","male"
"John","male"
"Charles","male"
"Escalante","NA"
"St.","NA"
"William","male"
"Rudger","NA"
"John","male"
"Arrowhead","NA"
"Joseph","male"
"Mesa","female"
"s.","NA"
"William","male"
"Bancroft","NA"
"Emma","female"
"A.","NA"
"Mormon","NA"
"Lawrence","male"
"Arthur","male"
"G.","NA"
"William","male"
"William","male"
"Samuel","male"
"M.","NA"
"Gunnison","NA"
"J.","NA"
"Desert","NA"
"Lehi","male"
"A.","NA"
"John","male"
"Dale","male"
"John","male"
"Miles","male"
"S.","NA"
"B.","NA"
"Apostle","NA"
"Lehi","male"
"W.","NA"
"Patrick","male"
"Ezra","male"
"Willard","male"
"John","male"
"May","female"
"La","female"
"Field","NA"
"Edward","male"
"John","male"
"Young","male"
"James","male"
"Thomas","male"
"C.","NA"
"Henry","male"
"John","male"
"Peter","male"
"Jedediah","male"
"Frank","male"
"Montezuma","NA"
"Bishop","male"
"Fray","NA"
"West","male"
"Tavaputs","NA"
"John","male"
"Hashkéneinii","NA"
"Hashkéneinii","NA"
"Fifteenth","NA"
"Dom","NA"
"Monument","NA"
"John","male"
"Lorin","female"
"Elk","NA"
"Promontory","NA"
"Bishop","male"
"Willow","female"
"R.","NA"
"Prophet","male"
"Salt","NA"
"C.","NA"
"Karl","male"
"Henry","male"
"Howard","male"
"George","male"
"Orson","male"
"John","male"
"Atanasio","NA"
"Mary","female"
"Joseph","male"
"Waterpocket","NA"
"Hyde","NA"
"G.","NA"
"San","female"
"W.","NA"
"W.","NA"
"Sudden","NA"
"Franklin","male"
"Truman","male"
"De","male"
"the","NA"
"H.","NA"
"William","male"
"Porter","male"
"John","male"
"p.","NA"
"Fray","NA"
"Minnie","female"
"Latterday","NA"
"Utah","male"
"Old","NA"
"Ashley","female"
"County","NA"
"Corn","NA"
"Ida","female"
"Juvenile","NA"
"Woodruff","NA"
"La","female"
"Memory","female"
"James","male"
"R.","NA"
"L.","NA"
"Stephen","male"
"Ira","male"
"J.","NA"
"James","male"
"David","male"
"Mormon","NA"
"Van","male"
"F.","NA"
"Buckskin","NA"
"Robert","male"
"J.","NA"
"Don","male"
"J.","NA"
"Winfield","male"
"George","male"
"Peter","male"
"Warm","NA"
"Ku","NA"
"Ezra","male"
"George","male"
"Fort","NA"
"Plum","NA"
"James","male"
"Dale","male"
"John","male"
"Joseph","male"
"Ezra","male"
"John","male"
"Samuel","male"
"Francisco","male"
