,Source,Target,Weight
0,Brigham Young,Joseph Smith,123
1,Brigham Young,Wilford Woodruff,44
2,Brigham Young,John Taylor,53
3,Brigham Young,George Q. Cannon,23
4,Brigham Young,George A. Smith,58
5,Brigham Young,Heber C. Kimball,71
6,Brigham Young,Joseph F. Smith,15
7,Brigham Young,Orson Pratt,46
8,Brigham Young,Daniel H. Wells,37
9,Brigham Young,Reed Smoot,5
10,Brigham Young,John D. Lee,28
11,Brigham Young,Heber J. Grant,4
12,Brigham Young,John Wesley Powell,2
13,Brigham Young,Jacob Hamblin,19
14,Brigham Young,Theodore Roosevelt,2
15,Brigham Young,Abraham Lincoln,20
16,Brigham Young,James Buchanan,32
17,Brigham Young,Parley P. Pratt,20
18,Brigham Young,B. H. Roberts,5
19,Brigham Young,Simon Bamberger,1
20,Brigham Young,Franklin D. Richards,19
21,Brigham Young,Lorenzo Snow,24
22,Brigham Young,Heber M. Wells,2
23,Brigham Young,Franklin D. Roosevelt,0
24,Brigham Young,William Spry,2
25,Brigham Young,Thomas Kearns,3
26,Brigham Young,Willard Richards,30
27,Brigham Young,Orson Hyde,24
28,Brigham Young,Uncle Sam,4
29,Brigham Young,Lot Smith,14
30,Brigham Young,Albert Sidney Johnston,15
31,Brigham Young,Woodrow Wilson,1
32,Brigham Young,Juanita Brooks,5
33,Brigham Young,Thomas L. Kane,22
34,Brigham Young,Jim Bridger,12
35,Brigham Young,John C. Fremont,3
36,Brigham Young,Leonard Arrington,7
37,Brigham Young,Howard Stansbury,4
38,Brigham Young,John T. Caine,9
39,Brigham Young,Erastus Snow,21
40,Brigham Young,Orson F. Whitney,3
41,Brigham Young,David O. McKay,7
42,Brigham Young,Kit Carson,2
43,Brigham Young,William H. King,1
44,Brigham Young,Emmeline B. Wells,8
45,Brigham Young,Andrew Jenson,4
46,Brigham Young,Grover Cleveland,1
47,Brigham Young,Charles Kelly,1
48,Brigham Young,Frank J. Cannon,2
49,Joseph Smith,Wilford Woodruff,9
50,Joseph Smith,John Taylor,15
51,Joseph Smith,George Q. Cannon,2
52,Joseph Smith,George A. Smith,9
53,Joseph Smith,Heber C. Kimball,12
54,Joseph Smith,Joseph F. Smith,4
55,Joseph Smith,Orson Pratt,13
56,Joseph Smith,Daniel H. Wells,0
57,Joseph Smith,Reed Smoot,1
58,Joseph Smith,John D. Lee,6
59,Joseph Smith,Heber J. Grant,0
60,Joseph Smith,John Wesley Powell,0
61,Joseph Smith,Jacob Hamblin,1
62,Joseph Smith,Theodore Roosevelt,0
63,Joseph Smith,Abraham Lincoln,2
64,Joseph Smith,James Buchanan,0
65,Joseph Smith,Parley P. Pratt,7
66,Joseph Smith,B. H. Roberts,2
67,Joseph Smith,Simon Bamberger,0
68,Joseph Smith,Franklin D. Richards,2
69,Joseph Smith,Lorenzo Snow,2
70,Joseph Smith,Heber M. Wells,0
71,Joseph Smith,Franklin D. Roosevelt,0
72,Joseph Smith,William Spry,1
73,Joseph Smith,Thomas Kearns,0
74,Joseph Smith,Willard Richards,11
75,Joseph Smith,Orson Hyde,4
76,Joseph Smith,Uncle Sam,1
77,Joseph Smith,Lot Smith,1
78,Joseph Smith,Albert Sidney Johnston,0
79,Joseph Smith,Woodrow Wilson,0
80,Joseph Smith,Juanita Brooks,3
81,Joseph Smith,Thomas L. Kane,2
82,Joseph Smith,Jim Bridger,0
83,Joseph Smith,John C. Fremont,1
84,Joseph Smith,Leonard Arrington,1
85,Joseph Smith,Howard Stansbury,1
86,Joseph Smith,John T. Caine,0
87,Joseph Smith,Erastus Snow,2
88,Joseph Smith,Orson F. Whitney,1
89,Joseph Smith,David O. McKay,3
90,Joseph Smith,Kit Carson,0
91,Joseph Smith,William H. King,0
92,Joseph Smith,Emmeline B. Wells,0
93,Joseph Smith,Andrew Jenson,1
94,Joseph Smith,Grover Cleveland,0
95,Joseph Smith,Charles Kelly,0
96,Joseph Smith,Frank J. Cannon,0
97,Wilford Woodruff,John Taylor,19
98,Wilford Woodruff,George Q. Cannon,34
99,Wilford Woodruff,George A. Smith,9
100,Wilford Woodruff,Heber C. Kimball,6
101,Wilford Woodruff,Joseph F. Smith,20
102,Wilford Woodruff,Orson Pratt,6
103,Wilford Woodruff,Daniel H. Wells,5
104,Wilford Woodruff,Reed Smoot,0
105,Wilford Woodruff,John D. Lee,0
106,Wilford Woodruff,Heber J. Grant,1
107,Wilford Woodruff,John Wesley Powell,0
108,Wilford Woodruff,Jacob Hamblin,2
109,Wilford Woodruff,Theodore Roosevelt,0
110,Wilford Woodruff,Abraham Lincoln,1
111,Wilford Woodruff,James Buchanan,1
112,Wilford Woodruff,Parley P. Pratt,2
113,Wilford Woodruff,B. H. Roberts,3
114,Wilford Woodruff,Simon Bamberger,0
115,Wilford Woodruff,Franklin D. Richards,7
116,Wilford Woodruff,Lorenzo Snow,12
117,Wilford Woodruff,Heber M. Wells,1
118,Wilford Woodruff,Franklin D. Roosevelt,0
119,Wilford Woodruff,William Spry,0
120,Wilford Woodruff,Thomas Kearns,0
121,Wilford Woodruff,Willard Richards,4
122,Wilford Woodruff,Orson Hyde,4
123,Wilford Woodruff,Uncle Sam,1
124,Wilford Woodruff,Lot Smith,1
125,Wilford Woodruff,Albert Sidney Johnston,0
126,Wilford Woodruff,Woodrow Wilson,0
