Source,Target,Weight
Brigham Young,Joseph Smith,123
Brigham Young,Wilford Woodruff,44
Brigham Young,John Taylor,53
Brigham Young,George Q. Cannon,23
Brigham Young,George A. Smith,58
Brigham Young,Heber C. Kimball,71
Brigham Young,Joseph F. Smith,15
Brigham Young,Orson Pratt,46
Brigham Young,Daniel H. Wells,37
Brigham Young,Reed Smoot,5
Brigham Young,John D. Lee,28
Brigham Young,Heber J. Grant,4
Brigham Young,John Wesley Powell,2
Brigham Young,Jacob Hamblin,19
Brigham Young,Theodore Roosevelt,2
Brigham Young,Abraham Lincoln,20
Brigham Young,James Buchanan,32
Brigham Young,Parley P. Pratt,20
Brigham Young,B. H. Roberts,5
Brigham Young,Simon Bamberger,1
Brigham Young,Franklin D. Richards,19
Brigham Young,Lorenzo Snow,24
Brigham Young,Heber M. Wells,2
Brigham Young,Franklin D. Roosevelt,0
Brigham Young,William Spry,2
Brigham Young,Thomas Kearns,3
Brigham Young,Willard Richards,30
Brigham Young,Orson Hyde,24
Brigham Young,Uncle Sam,4
Brigham Young,Lot Smith,14
Brigham Young,Albert Sidney Johnston,15
Brigham Young,Woodrow Wilson,1
Brigham Young,Juanita Brooks,5
Brigham Young,Thomas L. Kane,22
Brigham Young,Jim Bridger,12
Brigham Young,John C. Fremont,3
Brigham Young,Leonard Arrington,7
Brigham Young,Howard Stansbury,4
Brigham Young,John T. Caine,9
Brigham Young,Erastus Snow,21
Brigham Young,Orson F. Whitney,3
Brigham Young,David O. McKay,7
Brigham Young,Kit Carson,2
Brigham Young,William H. King,1
Brigham Young,Emmeline B. Wells,8
Brigham Young,Andrew Jenson,4
Brigham Young,Grover Cleveland,1
Brigham Young,Charles Kelly,1
Brigham Young,Frank J. Cannon,2
Joseph Smith,Wilford Woodruff,9
Joseph Smith,John Taylor,15
Joseph Smith,George Q. Cannon,2
Joseph Smith,George A. Smith,9
Joseph Smith,Heber C. Kimball,12
Joseph Smith,Joseph F. Smith,4
Joseph Smith,Orson Pratt,13
Joseph Smith,Daniel H. Wells,0
Joseph Smith,Reed Smoot,1
Joseph Smith,John D. Lee,6
Joseph Smith,Heber J. Grant,0
Joseph Smith,John Wesley Powell,0
Joseph Smith,Jacob Hamblin,1
Joseph Smith,Theodore Roosevelt,0
Joseph Smith,Abraham Lincoln,2
Joseph Smith,James Buchanan,0
Joseph Smith,Parley P. Pratt,7
Joseph Smith,B. H. Roberts,2
Joseph Smith,Simon Bamberger,0
Joseph Smith,Franklin D. Richards,2
Joseph Smith,Lorenzo Snow,2
Joseph Smith,Heber M. Wells,0
Joseph Smith,Franklin D. Roosevelt,0
Joseph Smith,William Spry,1
Joseph Smith,Thomas Kearns,0
Joseph Smith,Willard Richards,11
Joseph Smith,Orson Hyde,4
Joseph Smith,Uncle Sam,1
Joseph Smith,Lot Smith,1
Joseph Smith,Albert Sidney Johnston,0
Joseph Smith,Woodrow Wilson,0
Joseph Smith,Juanita Brooks,3
Joseph Smith,Thomas L. Kane,2
Joseph Smith,Jim Bridger,0
Joseph Smith,John C. Fremont,1
Joseph Smith,Leonard Arrington,1
Joseph Smith,Howard Stansbury,1
Joseph Smith,John T. Caine,0
Joseph Smith,Erastus Snow,2
Joseph Smith,Orson F. Whitney,1
Joseph Smith,David O. McKay,3
Joseph Smith,Kit Carson,0
Joseph Smith,William H. King,0
Joseph Smith,Emmeline B. Wells,0
Joseph Smith,Andrew Jenson,1
Joseph Smith,Grover Cleveland,0
Joseph Smith,Charles Kelly,0
Joseph Smith,Frank J. Cannon,0
Wilford Woodruff,John Taylor,19
Wilford Woodruff,George Q. Cannon,34
Wilford Woodruff,George A. Smith,9
Wilford Woodruff,Heber C. Kimball,6
Wilford Woodruff,Joseph F. Smith,20
Wilford Woodruff,Orson Pratt,6
Wilford Woodruff,Daniel H. Wells,5
Wilford Woodruff,Reed Smoot,0
Wilford Woodruff,John D. Lee,0
Wilford Woodruff,Heber J. Grant,1
Wilford Woodruff,John Wesley Powell,0
Wilford Woodruff,Jacob Hamblin,2
Wilford Woodruff,Theodore Roosevelt,0
Wilford Woodruff,Abraham Lincoln,1
Wilford Woodruff,James Buchanan,1
Wilford Woodruff,Parley P. Pratt,2
Wilford Woodruff,B. H. Roberts,3
Wilford Woodruff,Simon Bamberger,0
Wilford Woodruff,Franklin D. Richards,7
Wilford Woodruff,Lorenzo Snow,12
Wilford Woodruff,Heber M. Wells,1
Wilford Woodruff,Franklin D. Roosevelt,0
Wilford Woodruff,William Spry,0
Wilford Woodruff,Thomas Kearns,0
Wilford Woodruff,Willard Richards,4
Wilford Woodruff,Orson Hyde,4
Wilford Woodruff,Uncle Sam,1
Wilford Woodruff,Lot Smith,1
Wilford Woodruff,Albert Sidney Johnston,0
Wilford Woodruff,Woodrow Wilson,0
Wilford Woodruff,Juanita Brooks,0
Wilford Woodruff,Thomas L. Kane,2
Wilford Woodruff,Jim Bridger,0
Wilford Woodruff,John C. Fremont,0
Wilford Woodruff,Leonard Arrington,0
Wilford Woodruff,Howard Stansbury,0
Wilford Woodruff,John T. Caine,0
Wilford Woodruff,Erastus Snow,3
Wilford Woodruff,Orson F. Whitney,0
Wilford Woodruff,David O. McKay,0
Wilford Woodruff,Kit Carson,0
Wilford Woodruff,William H. King,0
Wilford Woodruff,Emmeline B. Wells,0
Wilford Woodruff,Andrew Jenson,1
Wilford Woodruff,Grover Cleveland,2
Wilford Woodruff,Charles Kelly,0
Wilford Woodruff,Frank J. Cannon,3
John Taylor,George Q. Cannon,16
John Taylor,George A. Smith,11
John Taylor,Heber C. Kimball,4
John Taylor,Joseph F. Smith,7
John Taylor,Orson Pratt,8
John Taylor,Daniel H. Wells,7
John Taylor,Reed Smoot,0
John Taylor,John D. Lee,0
John Taylor,Heber J. Grant,0
John Taylor,John Wesley Powell,0
